target_id,target_name,similar_id,similar_name,overall_score,contour_score,iou_score,radial_score,geometric_score
1,bulbasaur,4,charmander,0.6504167560391487,0.6119265476695057,0.543572285626587,0.8561640299831212,0.7134164528674608
1,bulbasaur,118,goldeen,0.6494581334931004,0.6609872366343461,0.4284701503559507,0.9319388882047493,0.7013441609162694
1,bulbasaur,117,seadra,0.6467872312006046,0.6599845629157278,0.48650809514291427,0.8073269650240184,0.7537558448663543
1,bulbasaur,63,abra,0.6414331013759208,0.6441976925586389,0.45625199779153225,0.8973181239258119,0.6741480022984324
1,bulbasaur,141,kabutops,0.6409426761203696,0.6407505735731088,0.468545029373182,0.8920101741838178,0.6567690304240797
1,bulbasaur,130,gyarados,0.6402907636657204,0.6450973762626062,0.46688372638742226,0.8913141750093628,0.6392386024257861
1,bulbasaur,86,seel,0.639604812928334,0.5469726909804016,0.5144264412983797,0.9328634583000359,0.7991511248665233
1,bulbasaur,77,ponyta,0.6365933808951935,0.6196723924047709,0.4568768562942655,0.9331379072124734,0.6503378560251074
1,bulbasaur,144,articuno,0.6363926093208188,0.6403406326963156,0.44410884428457675,0.9181027582791844,0.634031513010826
1,bulbasaur,75,graveler,0.6250332409578083,0.6216499078749981,0.38714231097256124,0.9620783351537779,0.6781491748528516
1,bulbasaur,89,muk,0.6184243789504523,0.5958066449662256,0.3993472124206069,0.9547632740439849,0.69344902428983
1,bulbasaur,52,meowth,0.6124184340338911,0.6050538714044534,0.41738002594033724,0.927259656578628,0.5973094637428294
1,bulbasaur,42,golbat,0.6113079275692535,0.5361750575315194,0.47103098197094345,0.928337790936042,0.6986105177815426
1,bulbasaur,69,bellsprout,0.609629122903172,0.6790681074267079,0.3958689458689459,0.7832026289002008,0.626006703917649
1,bulbasaur,98,krabby,0.6066346857945629,0.5577906810813458,0.4555045737498904,0.9170063436403062,0.6346577250899619
1,bulbasaur,145,zapdos,0.6051549183726438,0.617108338829201,0.3641749024898091,0.9446739442919602,0.6012432323562857
1,bulbasaur,151,mew,0.6046242720291035,0.5953101158896915,0.38348507548691946,0.8882898693426973,0.7379672915861164
1,bulbasaur,131,lapras,0.604505101278415,0.5235673023706994,0.4417762530970078,0.9208760091441865,0.7837010257219551
1,bulbasaur,18,pidgeot,0.6022548043641451,0.5318740613918204,0.47698686553873554,0.8627677731080419,0.7385556552418789
1,bulbasaur,125,electabuzz,0.6006376053157197,0.5466638405782009,0.4307609800158067,0.9153765543972976,0.6966846420023788
1,bulbasaur,26,raichu,0.5982152618903658,0.5607724457376595,0.3988013044627905,0.9325206107188962,0.6776177011268562
1,bulbasaur,17,pidgeotto,0.5979154312446359,0.5483125385279627,0.42970561754835895,0.9087342529125497,0.6793187998643315
1,bulbasaur,49,venomoth,0.5926422082082171,0.514177392958312,0.43828518497076363,0.9228839725330527,0.709089010270527
1,bulbasaur,81,magnemite,0.5920289526855018,0.5476551085925736,0.40018885183983005,0.9312448998356184,0.6666127372939965
1,bulbasaur,99,kingler,0.5898661007008416,0.5393336085779913,0.4171483905044162,0.9212945567562081,0.6472922876707853
1,bulbasaur,56,mankey,0.5859941177168901,0.5483689283610794,0.382438739789965,0.9552250776664927,0.6086990890217028
1,bulbasaur,53,persian,0.5859153614440812,0.48866386913964316,0.4649194016003711,0.9100188594429676,0.6897022141951908
1,bulbasaur,13,weedle,0.5809007414731923,0.498779109049038,0.44050971357055496,0.8765190258266347,0.7393237861708363
1,bulbasaur,150,mewtwo,0.5772912621464198,0.5428457673194405,0.38408666628952876,0.9249794123050716,0.5993107287077059
1,bulbasaur,123,scyther,0.5686223939154865,0.5145450092852984,0.4013095816772939,0.8886251160236541,0.6468649249344808
1,bulbasaur,41,zubat,0.5345227944260961,0.4508638073834379,0.40113396774744997,0.8302950278174067,0.6777807558500452
1,bulbasaur,85,dodrio,0.5239104711893665,0.5030809499511624,0.30166447406051594,0.8681481188255897,0.5854912522562884
1,bulbasaur,106,hitmonlee,0.5128663356577118,0.4026039881658028,0.3399557229521865,0.8869977259191432,0.7243847832190607
1,bulbasaur,147,dratini,0.5126467466927477,0.3961174562724529,0.39043574909515805,0.8231361087674218,0.7244181770173473
1,bulbasaur,107,hitmonchan,0.5019785202394126,0.41255455900973426,0.3055054276909409,0.9004250495312388,0.6522005842198882
1,bulbasaur,142,aerodactyl,0.4891564958194449,0.4118777126182189,0.30070549340260355,0.8823730159061751,0.5771915957014124
1,bulbasaur,148,dragonair,0.4855425031001079,0.3679016114161282,0.34271749755620723,0.8426339105884397,0.6703982714910649
1,bulbasaur,146,moltres,0.4447374095225398,0.351222904178914,0.2593464821901678,0.862480033457936,0.5394829650233668
1,bulbasaur,74,geodude,0.435933402121479,0.28433127337015957,0.28212480416210944,0.8984451595137828,0.578744196220258
1,bulbasaur,84,doduo,0.4291357780989696,0.33213317678257015,0.24023609561285017,0.8493411942042965,0.543434398612271
2,ivysaur,113,chansey,0.9135411588794518,0.9722005427539882,0.7927208437480948,0.9886070272135509,0.8912328321071781
2,ivysaur,92,gastly,0.9010342651790652,0.9653933193387032,0.7517285088730122,0.9849852262726264,0.923613395271549
2,ivysaur,114,tangela,0.8940085763429833,0.9382802317673145,0.7918844489405946,0.9778721232124572,0.8555672431138764
2,ivysaur,39,jigglypuff,0.8915581975442304,0.9131136972276929,0.806392266916121,0.9909505589993606,0.8620492677844488
2,ivysaur,35,clefairy,0.8884424568924103,0.9492513092544281,0.7657312925170068,0.9785590847995439,0.8331072847562819
2,ivysaur,100,voltorb,0.8874884468085016,0.9546833701418763,0.7667191601049869,0.989598214027576,0.7767970791473983
2,ivysaur,36,clefable,0.8839662053456852,0.9005338648180609,0.7715821589423216,0.9740826703234464,0.9746147767107498
2,ivysaur,1,bulbasaur,0.8825590251463166,0.9055731354501276,0.7887616481419109,0.9893804970626745,0.8582517711115731
2,ivysaur,29,nidoran-f,0.880865172811548,0.9178276599830583,0.7460146926449664,0.9780708941100633,0.9431552220282208
2,ivysaur,101,electrode,0.8796542754832296,0.9543979285750086,0.7451669151651462,0.989178118050839,0.7650940589351445
2,ivysaur,32,nidoran-m,0.876395783783223,0.9108653519779993,0.7386825304701102,0.9822660200191444,0.9399167984716128
2,ivysaur,108,lickitung,0.8724526054884363,0.9111131329451275,0.7482008460143932,0.9819426654224727,0.8715856542157268
2,ivysaur,3,venusaur,0.8695732054442133,0.9322553458498964,0.7083673854277991,0.9759948999241578,0.8896187149108339
2,ivysaur,111,rhyhorn,0.8691380232549667,0.901671731508192,0.759275939216085,0.9836225383003162,0.8396204122680115
2,ivysaur,132,ditto,0.8681865524671839,0.9170097887760323,0.7449304750869061,0.9804948488725089,0.8180452465619726
